lag,acf
117,0.09609546263787518
118,0.09125817233530777
119,0.08801227442661366
120,0.08660315027243322
121,0.08711234162970152
122,0.08943920063762514
123,0.09331390702525834
124,0.09849015589289284
125,0.10498750860481106
126,0.11326974777514248
127,0.1241676762457445
128,0.1386749417405224
129,0.15780684266784645
130,0.18236732583861895
131,0.2127176908206403
132,0.248733460808034
133,0.2899866723546793
134,0.3359935087413429
135,0.38614929203744447
136,0.4397167820689715
137,0.4955936398832835
138,0.5523669105731132
139,0.6080303723177263
140,0.6601664455133985
141,0.7057979919843894
142,0.7418767461584032
143,0.765104634953147
144,0.7729575182321555
145,0.7640343888284158
146,0.739781017086754
147,0.7027315590098276
148,0.6562029310432433
149,0.6032657833084516
150,0.546912765000921
151,0.4895443376722694
152,0.43314440914622476
153,0.379090678716834
154,0.328462281076201
155,0.2819806565931293
156,0.24026173980194343
157,0.2037883981551597
158,0.17297120256214146
159,0.14793023586883722
160,0.1282820599486569
161,0.11321366468641363
162,0.10171556373131181
163,0.09281173075575376
164,0.08567640032979676
165,0.07986814970300296
166,0.07535561763542716
167,0.07237548769821654
168,0.07118159525786137
169,0.0718804864441517
170,0.0744109345803746
171,0.07851858967213358
172,0.08396886938663278
173,0.09079404890270365
174,0.09943467565107778
175,0.11070691065528507
176,0.12557968551622012
177,0.14505471874497688
178,0.1699364740723138
179,0.20059596060497428
180,0.2369149442536086
181,0.2784538731404068
182,0.3247450819886679
183,0.37518436476429035
184,0.42904682653278775
185,0.48522727623934686
186,0.5423074477440104
187,0.5982943512781105
188,0.6507789458715092
189,0.6967522847296158
190,0.7331503420633841
191,0.7566705408002132
192,0.7648303342945852
193,0.7562462218815239
194,0.7323694281481343
195,0.6957295422766523
196,0.6496351867729933
197,0.5971352866292292
198,0.54121203965437
199,0.48427560221649035
200,0.42831428702141083
201,0.3747149874227738
202,0.32455638908823714
203,0.2785509964475212
204,0.23730750584943164
205,0.20128600698395124
206,0.17091820374784064
207,0.14633127104678215
208,0.12714528579112544
209,0.11253805488017558
210,0.10150520038925157
211,0.09306439115980283
212,0.08637780828056349
213,0.0809723033482462
214,0.07680866710748947
215,0.07412264612684458
216,0.07320025632767892
217,0.07417271404015446
218,0.0769944494317234
219,0.08142329264609431
220,0.0872483550977981
221,0.09451475510690929
222,0.10366716774749872
223,0.11549508535378863
224,0.1309596650766852
225,0.1510647466595487
226,0.17661173815107262
227,0.20795563401883033
228,0.24496267273462782
229,0.2871997710249386
230,0.33418762285306197
231,0.38533258429442685
232,0.43990915251355345
233,0.4968088191754838
234,0.5546241370701323
235,0.611343839230717
236,0.6645476098903852
237,0.7112084604265159
238,0.7482362443119898
239,0.7723064947889772
240,0.7809251758304144
241,0.7727566918634597
242,0.7492746364163732
243,0.7130489243767208
244,0.6674268155020684
245,0.6154834660948602
246,0.5601962090191507
247,0.5039685270077137
248,0.4487673289940592
249,0.39593311962759614
250,0.34653423351848545
251,0.30128397594866824
252,0.2607870618999649
253,0.22550263858240513
254,0.1958836205309786
255,0.17207732004614165
256,0.15373048802821768
257,0.14005846861932472
258,0.13001474851368205
259,0.12258879260237265
260,0.11692451131993083
261,0.1125292829775476
262,0.10934761124566995
263,0.10759755246565814
264,0.10751835676184447
265,0.10922937362093856
266,0.11269594894253981
267,0.1177486307326434
268,0.12424834770645687
269,0.13227788651359276
270,0.142320041970865
271,0.1552290470715817
272,0.17194681640642273
273,0.19345348918562988
274,0.2204987325371344
275,0.25338126521324494
276,0.2919471467701902
277,0.3357612848027841
278,0.3843740824654923
279,0.43720432597413666
280,0.4935625972095152
281,0.5523749333778116
282,0.6122395072920737
283,0.6711265316088958
284,0.7265630642178654
285,0.7754015765662928
286,0.8143373288878004
287,0.8397862887807869
288,0.849053562604135
289,0.8407286246697397
290,0.8164261081565065
291,0.7789899897669549
292,0.7320436887759189
293,0.6788172577379967
294,0.6223747813016139
295,0.5651071614312012
296,0.5089487997226496
297,0.4552170295611606
298,0.4049224077020322
299,0.35872780714542724
300,0.31724056459278455
301,0.28095983585529594
302,0.2503463062008202
303,0.22557992016372094
304,0.20638349874719644
305,0.19199426632953023
306,0.1813837109036913
307,0.17354610025689013
308,0.16762514944303225
309,0.1631214370416859
310,0.15990894293922614
311,0.15810874392767388
312,0.15788356537573273
313,0.15929500474346517
314,0.16234472315396356
315,0.16691328676453887
316,0.17291088675278282
317,0.18048407429550453
318,0.19017263916529334
